0	1100101001100111001001001000000000011101011111111111111111111111111111111111111000
1	11001010011001110010010000000000001100
2	1100101001100111001001001000000000011101011111111111111111111111111111111111111001
3	11001010011001110010010010000000001
4	11001010011001110010010000000000001101
5	11001010011001110010010010000000000111010111111110
6	11001010011001110010010010000000000111010111111111111111111111111111111111111000
7	1100101001100111001001001000001
8	1100101001100111001001000000000001
9	110010100110011100100100000000000010
10	1101110
11	1100101001100111001001001000000000011000
12	1100101001100111001001001000000000011101011111110
13	110010100110011100100100100000000001110101111111111111111111111111110
14	11001010011001110010010010000000000111010111111111111111111111111111111111111001
15	1100101001100111001001000001
16	110010100110011100100100000001
17	110010100110011100100100100000001
18	1100101001100111001001001000000001
19	11001010011001110010010000000000000
20	110010100110011100100100100000000000
21	11001010011001110010010000000000001110
22	11001010011001110010010000000000001111
23	110010100110011100100100100000000001010
24	1100101001100111001001001000000000011101110
25	1100101001100111001001001000000000011011111111
26	110010100110011100100100100000000001110101111110
27	110010100110011100100100100000000001110101111111111111111110
28	11001010011001110010010010000000000111010111111111111111111111111110
29	1100101001100111001001001000000000011101011111111111111111111111111111100
30	11001010011001110010010010000000000111010111111111111111111111111111111111111010
31	110010100110011100100100101
32	00
33	110010100110111
34	01000101011
35	100010001011111101
36	010001010100
37	110100011110100
38	1101000111101011
39	110111110001
40	1101111000
41	1101111001
42	11010001111010100
43	11001010011001001
44	1100110
45	110100000
46	1000111
47	1000100010110
48	100011011
49	110010010
50	1100100010
51	11011111001
52	11010001010
53	0100010100
54	11010001011
55	11010001000
56	11011110100
57	1100101000
58	110100010010
59	01000111110
60	1100101001100001
61	1100101001101100
62	1100101001100101
63	110100011111100
64	10001000101011001
65	110010011
66	1101111101
67	110010101
68	1000110010
69	1000100100
70	1000110100
71	1000100111
72	1100100011
73	100011000
74	11010001110
75	10001001010
76	1100100000
77	100010000
78	0100011110
79	11011110101
80	010001110
81	11010001111111
82	1100100001
83	110100001
84	01000110
85	110111110000
86	10001101010
87	0100010110
88	110100011111101
89	110010100111
90	11010001111100
91	11001010011001000
92	10001000101110000101010
93	10001000101111111
94	11001010011001110010010010000000000100
95	100010001011100100
96	110010100110011100101
97	1001
98	1100111
99	110110
100	01001
101	1110
102	101110
103	100000
104	11000
105	0101
106	1000100110
107	11001011
108	10110
109	101111
110	0110
111	0111
112	100001
113	1000100011
114	11110
115	11111
116	1010
117	110101
118	1000101
119	1101001
120	1101000110
121	010000
122	1000110011
123	11001010011001110111
124	1100101001100111001001001000000000011101011111111111111111111111111111101100
125	1000100010101100000
126	10001000101111110010
127	11001010011001110010010001
128	110111111
129	0100010101010
130	10001001011
131	1100101001100111001001001001
132	1000100010111101
133	110010100110011100100100001
134	110100011110101010110
135	1100101001100111000
136	100010001010100010
137	100010001010110001
138	11001010011001110010010010001
139	110010100110011100100100100001
140	1000100010111000010100
141	1100101001100111011010
142	11001010011001110010010000001
143	11001010011001110010010010000001
144	1100101001100111001001000000001
145	11001010011001110010001
146	11001010011001110010011
147	1000100010100
148	01000111111
149	11001010011001110010010000000001
150	1101000111101010101111
151	110010100110011101100
152	10001000101110001
153	1101111011
154	11001010011001110010000
155	110010100110011100100100000000001
156	100011010111
157	110100010011
158	10001000101110000101011
159	1000100010101001
160	10001000100
161	0100010101011
162	11010001111101
163	110010100110001
164	100010001010100011
165	110010100110011100100101
166	100010001011100000
167	11001010011010
168	1100101001101101
169	100011010110
170	10001000101110011
171	11001010011001111
172	1000100010111110
173	1101000111100
174	1100101001100111010
175	110100011110101011
176	10001000101010000
177	100010001011101
178	100010001011100101
179	11010001111011
180	1000100010101101
181	1000100010101100001
182	1000100010111100
183	10001000101110000100
184	1101000111101010101110
