0	10100010011100011111001010010000111111111110111110000001011111000
1	10100010011100011111001010010000111111110
2	10100010011100011111001010010000111111111110111110000001011111001
3	1010001001110001111100101001000010
4	1010001001110001111100101001000011111110
5	1010001001110001111100101001000011111111111011110010001
6	101000100111000111110010100100001111111111101111100000010111000
7	1010001001110001111100101000001
8	101000100111000111110010100100000
9	1010001001110001111100101001000011110
10	110110
11	101000100111000111110010100100001111111111001110
12	1010001001110001111100101001000011111111111011111000001
13	1010001001110001111100101001000011111111111011111000000000
14	101000100111000111110010100100001111111111101111100000010111001
15	101000100111000111110010100001
16	1010001001110001111100101001001
17	10100010011100011111001010010001
18	10100010011100011111001010000000
19	10100010011100011111001010010000110
20	101000100111000111110010100100001110
21	101000100111000111110010100100001111110
22	10100010011100011111001010010000111110
23	10100010011100011111001010010000111111111001
24	101000100111000111110010100100001111111111101110
25	101000100111000111110010100100001111111111101111101
26	101000100111000111110010100100001111111111101111001001
27	101000100111000111110010100100001111111111101111100000001
28	1010001001110001111100101001000011111111111011111000000001
29	10100010011100011111001010010000111111111110111100100000100
30	101000100111000111110010100100001111111111101111100000010111010
31	101000100111000111110010100101
32	111
33	0111100111
34	110111
35	11010101000111111
36	110101010001111001
37	10100010011100010
38	10100010011100011111001010000001
39	110011101
40	11001101000011
41	11001101000010
42	1010101101111001
43	1010001001110001111111
44	01111100
45	011111110
46	1010000
47	01110
48	1101010100010
49	1010101101101
50	0100000100100
51	10100010011110
52	01000001001010
53	10100010011101
54	101010110111101
55	101000100111001
56	101000100111110
57	101000100111111
58	000000
59	01000001001011
60	0101
61	1101011
62	0110
63	101011010
64	101000100111000001100
65	11001101100
66	110011011011
67	110101010100
68	110101010101
69	011111011001
70	1100110100010
71	101110011001
72	10101011010
73	101010111
74	1010101101110
75	0100000100111
76	101110011000
77	00111101110
78	01000001000
79	01111101001
80	001111011111
81	11010101000111110
82	001111011110
83	11001101010
84	0100000111
85	1010001001100
86	01111101100000
87	0011110110
88	10100010011100001
89	11010101001
90	11010101000111001
91	11001101000000
92	101000100111000110
93	11001101000001
94	101000100111000001111
95	101000100111000000
96	10100010011100011111010
97	00001
98	101010100
99	00111110
100	11001111
101	0001
102	101111011
103	10110
104	1010100
105	1010111
106	101110011011
107	1001011
108	10001
109	100100
110	01001
111	110010
112	101011011
113	10101011011111
114	1010010
115	10011
116	0010
117	11000
118	00110
119	01000111
120	000001
121	10111100
122	0111110110001
123	1101010100011110000
124	10100010011100011111001010010000111111111110111100100000101100
125	1101010100011110001
126	1010101101111000
127	10100010011100011111001010001
128	10111110
129	1010001000
130	101110010
131	1010011011
132	0100010
133	0100000110
134	0011110100
135	011110010110
136	10111000
137	101110011010
138	101011001
139	10100011
140	00111111
141	0100000101
142	1010001001101
143	1010101100
144	01000110
145	0011110101
146	10101011011001
147	0111110111
148	10100111
149	0100001
150	101111010
151	101010101
152	10111111
153	1010011010
154	101011000
155	01111101000
156	10010101
157	0011100
158	110101011
159	10100010010
160	11001100
161	0111110101
162	110101010000
163	11010101011
164	01111110
165	1010001011
166	1010001010
167	01000000
168	1011100111
169	0111100100
170	11001101001
171	10101011011000
172	00111100
173	01111001010
174	11010101000110
175	011110010111
176	0011101
177	1100111001
178	011111111
179	101001100
180	0111101
181	0111100110
182	11001101011
183	1100110111
184	10010100
185	1100111000
186	01111101100001
187	110011011010
188	01111000
189	01111101101
190	11001101000110
191	0100000100110
192	10100010011100011111001010010000111111111111
193	1010001001110001111100101001000011111111101
194	1101010100011101
195	11010101000111101
196	101000100111000111110010110
197	101000100111000111110001
198	10100010011100011111001010010000111111111101
199	1010001001110001111100101001000011111111111010
200	10100010011100011111001010010000111111111000
201	101000100111000111110010100100001111111111000
202	101000100111000111110010100100001111111111100
203	10100010011100011111001010010000111111111100110
204	1010001001110001111100101001000011111111110010
205	10100010011100011111001010010000111111111110110
206	101000100111000111110011
207	101000100111000111110010111
208	101000100111000111110000
209	10100010011100011111011
210	1010001001110001111100101001000011111111110011111
211	101000100111000111110010101
212	10100010011100011111001010010000111111111100111101
213	10100010011100011111001010010000111111111110111101
214	10100010011100011111001010010000111111111110111111
215	1010001001110001111100101001000011111111111011111001
216	101000100111000111110010100100001111111111101111000
217	101000100111000111110010100100001111111111001111000
218	101000100111000111110010100100001111111111001111001
219	101000100111000111110010100100001111111111101111100001
220	1010001001110001111100101001000011111111111011110011
221	10100010011100011111001010010000111111111110111100101
222	10100010011100011111001010010000111111111110111110001
223	101000100111000111110010100100001111111111101111100000011
224	10100010011100011111001010010000111111111110111100100001
225	1010001001110001111100100
226	11001101000111
227	11010101000111000
228	101000100111000001101
229	1010001001110001110
230	10100010011100011110
231	10100010011100000100
232	10100010011100000101
233	101000100111000001110
234	1011101
235	110100
236	10000
237	11010100
238	1010001001110001111100101001000011111111111011111000000100
239	1010001001110001111110
240	1010001001110001111100101001000011111111111011110010000000
241	1010001001110001111100101001000011111111111011110010000001
242	101000100111000111110010100100001111111111101111001000001010
243	10100010011100011111001010010000111111111110111100100000110
244	10100010011100011111001010010000111111111110111110000001010
245	10100010011100011111001010010000111111111110111100100000111
246	10100010011100011111001010010000111111111110111110000001011110
247	101000100111000111110010100100001111111111101111100000010111111
248	101000100111000111110010100100001111111111101111100000010110
249	10100010011100011111001010010000111111111110111100100000101110
250	10100010011100011111001010010000111111111110111100100000101111
